{'input_type': 'audio', 'output_type': 'text', 'action': 'audio2text', 'metadata': {'duration': '00:01:00', 'language': 'en'}, 'clarity': 0.95, 'reward': 9.5, 'tags_metadata': {'tags': ['ai', 'conversion'], 'metadata': {'length': 0}}}
{'input_type': 'audio', 'output_type': 'text', 'action': 'audio2text', 'metadata': {'duration': '00:01:00', 'language': 'en'}, 'clarity': 0.95, 'reward': 9.5, 'tags_metadata': {'tags': ['ai', 'conversion'], 'metadata': {'length': 0}}}
{'input_type': 'text', 'output_type': 'audio', 'action': 'text2audio', 'metadata': {'duration': '00:01:00', 'language': 'en'}, 'clarity': 0.95, 'reward': 9.5, 'tags_metadata': {'tags': ['ai', 'conversion'], 'metadata': {'length': 19}}}
{'input_type': 'audio', 'output_type': 'text', 'action': 'audio2text', 'metadata': {'duration': '00:01:00', 'language': 'en'}, 'clarity': 0.95, 'reward': 9.5, 'tags_metadata': {'tags': ['ai', 'conversion'], 'metadata': {'length': 0}}}
{'input_type': 'text', 'output_type': 'audio', 'action': 'text2audio', 'metadata': {'duration': '00:01:00', 'language': 'en'}, 'clarity': 0.95, 'reward': 9.5, 'tags_metadata': {'tags': ['ai', 'conversion'], 'metadata': {'length': 19}}}
{'input_type': 'text', 'output_type': 'audio', 'action': 'text2audio', 'metadata': {'duration': '00:01:00', 'language': 'en'}, 'clarity': 0.95, 'reward': 9.5, 'tags_metadata': {'tags': ['ai', 'conversion'], 'metadata': {'length': 19}}}
{'input_type': 'audio', 'output_type': 'text', 'action': 'audio2text', 'metadata': {'duration': '00:01:00', 'language': 'en'}, 'clarity': 0.95, 'reward': 9.5, 'tags_metadata': {'tags': ['ai', 'conversion'], 'metadata': {'length': 12}}}
{'input_type': 'video', 'output_type': 'audio', 'action': 'video2audio', 'metadata': {'duration': '00:01:00', 'language': 'en'}, 'clarity': 0.95, 'reward': 9.5, 'tags_metadata': {'tags': ['ai', 'conversion'], 'metadata': {'length': 24}}}
{'input_type': 'audio', 'output_type': 'text', 'action': 'audio2text', 'metadata': {'duration': '00:01:00', 'language': 'en'}, 'clarity': 0.95, 'reward': 9.5, 'tags_metadata': {'tags': ['ai', 'conversion'], 'metadata': {'length': 0}}}
{'input_type': 'audio', 'output_type': 'text', 'action': 'audio2text', 'metadata': {'duration': '00:01:00', 'language': 'en'}, 'clarity': 0.95, 'reward': 9.5, 'tags_metadata': {'tags': ['ai', 'conversion'], 'metadata': {'length': 12}}}
{'input_type': 'audio', 'output_type': 'text', 'action': 'audio2text', 'metadata': {'duration': '00:01:00', 'language': 'en'}, 'clarity': 0.95, 'reward': 9.5, 'tags_metadata': {'tags': ['ai', 'conversion'], 'metadata': {'length': 12}}}
{'input_type': 'video', 'output_type': 'audio', 'action': 'video2audio', 'metadata': {'duration': '00:01:00', 'language': 'en'}, 'clarity': 0.95, 'reward': 9.5, 'tags_metadata': {'tags': ['ai', 'conversion'], 'metadata': {'length': 24}}}
{'input_type': 'text', 'output_type': 'audio', 'action': 'text2audio', 'metadata': {'duration': '00:01:00', 'language': 'en'}, 'clarity': 0.95, 'reward': 9.5, 'tags_metadata': {'tags': ['ai', 'conversion'], 'metadata': {'length': 19}}}
{'input_type': 'audio', 'output_type': 'text', 'action': 'audio2text', 'metadata': {'duration': '00:01:00', 'language': 'en'}, 'clarity': 0.95, 'reward': 9.5, 'tags_metadata': {'tags': ['ai', 'conversion'], 'metadata': {'length': 12}}}
{'input_type': 'audio', 'output_type': 'text', 'action': 'audio2text', 'metadata': {'duration': '00:01:00', 'language': 'en'}, 'clarity': 0.95, 'reward': 9.5, 'tags_metadata': {'tags': ['ai', 'conversion'], 'metadata': {'length': 36}}}
